pruning_mode,capacity_strategy,dev_macro_f05,holdout_macro_f05,holdout_precision,holdout_recall,singleton_f05,single_match_f05,multi_match_f05,s2_f05,s3_f05,candidate_recall,mean_candidates_per_s1,p95_candidates,avg_predicted_matches
none,No_Limit,0.6968,0.6991,0.8037,0.5416,0.873,0.5242,0.6985,0.6984,0.6913,0.5742,142.33,351,1.847
recall_first,No_Limit,0.6853,0.6875,0.7964,0.5258,0.8748,0.5117,0.686,0.686,0.6793,0.5547,135.72,311,1.787
conservative,No_Limit,0.6605,0.6671,0.7825,0.4986,0.8909,0.4866,0.6636,0.6641,0.6567,0.5204,84.35,200,1.679
prob_aware,No_Limit,0.6605,0.667,0.7825,0.4984,0.8909,0.4866,0.6636,0.6641,0.6566,0.5201,78.0,150,1.678
conservative,Adaptive_Capacity,0.6582,0.6649,0.7854,0.4875,0.8909,0.4875,0.6611,0.6614,0.6543,0.5204,84.35,200,1.616
current,No_Limit,0.6166,0.6246,0.753,0.4439,0.9123,0.4254,0.6182,0.6196,0.6107,0.4518,41.74,97,1.466
current,Max_1,0.5647,0.5723,0.7565,0.3434,0.9123,0.4288,0.5595,0.562,0.5548,0.4518,41.74,97,1.007
