threshold,macro_f0.5,macro_precision,macro_recall,singleton_f0.5,single_match_f0.5,multi_match_f0.5,S2_f0.5,S3_f0.5,average_predictions_per_S1,percentage_abstaining,false_positive_singleton_rate
0.4225,0.5037,0.5758,0.4431,0.5145,0.3165,0.514,0.5142,0.508,2.4418,18.26,0.4855
0.425,0.5037,0.5758,0.443,0.5145,0.3165,0.514,0.5142,0.508,2.4408,18.26,0.4855
0.4275,0.5037,0.5759,0.4429,0.5145,0.3165,0.514,0.5142,0.508,2.4399,18.27,0.4855
0.43,0.5038,0.5759,0.4428,0.5145,0.3169,0.5141,0.5143,0.5081,2.4391,18.27,0.4855
0.4325,0.5037,0.5759,0.4426,0.5145,0.3158,0.514,0.5142,0.508,2.4383,18.28,0.4855
0.435,0.5037,0.5759,0.4425,0.5145,0.3158,0.514,0.5143,0.508,2.4375,18.29,0.4855
0.4375,0.5037,0.576,0.4425,0.5145,0.3158,0.5141,0.5143,0.508,2.4367,18.29,0.4855
0.44,0.5037,0.5759,0.4424,0.5145,0.3158,0.514,0.5143,0.508,2.4358,18.3,0.4855
0.4425,0.5037,0.576,0.4424,0.5145,0.3158,0.5141,0.5143,0.508,2.4351,18.3,0.4855
0.445,0.5037,0.576,0.4423,0.5145,0.316,0.514,0.5143,0.5079,2.4343,18.3,0.4855
0.4475,0.5036,0.576,0.4422,0.5145,0.316,0.514,0.5143,0.5079,2.4337,18.31,0.4855
0.45,0.5037,0.5761,0.4422,0.5163,0.3163,0.514,0.5143,0.5079,2.4328,18.32,0.4837
0.4525,0.5038,0.5761,0.4422,0.5163,0.3163,0.514,0.5143,0.5079,2.4325,18.32,0.4837
0.455,0.5038,0.5761,0.4422,0.5163,0.3163,0.514,0.5143,0.5079,2.4317,18.33,0.4837
0.4575,0.5039,0.5763,0.4422,0.5181,0.3163,0.514,0.5144,0.508,2.4309,18.34,0.4819
0.46,0.504,0.5764,0.4422,0.5181,0.3163,0.5141,0.5144,0.508,2.4301,18.34,0.4819
0.4625,0.504,0.5765,0.442,0.5181,0.3163,0.5142,0.5144,0.5081,2.429,18.34,0.4819
0.465,0.504,0.5765,0.442,0.5181,0.3163,0.5141,0.5144,0.508,2.4285,18.34,0.4819
0.4675,0.504,0.5766,0.442,0.5181,0.3167,0.5141,0.5145,0.5081,2.4278,18.34,0.4819
0.47,0.5041,0.5766,0.442,0.5181,0.3167,0.5142,0.5145,0.5081,2.4275,18.35,0.4819
