experiment_id,model_version,feature_version,negative_strategy,threshold_strategy,global_threshold,S2_threshold,S3_threshold,singleton_rule,multi_match_rule,validation_f05,precision,recall,singleton_f05,multi_match_f05,runtime,notes
EXP-A_Ratio_1_4,XGBoost_v2_GPU,v1_51feats,Standard 1:4 balanced stratification,adaptive_multi,0.65,0.47750000000000004,0.49750000000000005,"min_top=0.428,margin=0.0","drop<=0.16,t=0.458",0.5677,0.7527,0.3382,0.8134,0.559,11.46s,Standard 1:4 balanced stratification
EXP-B_Ratio_1_6,XGBoost_v2_GPU,v1_51feats,1:6 ratio with mined hard negatives (V2),adaptive_multi,0.65,0.47750000000000004,0.49750000000000005,"min_top=0.428,margin=0.0","drop<=0.16,t=0.458",0.5686,0.754,0.3394,0.9076,0.5547,20.02s,1:6 ratio with mined hard negatives (V2)
EXP-C_Ratio_1_8,XGBoost_v2_GPU,v1_51feats,1:8 ratio with very-hard negative emphasis,adaptive_multi,0.65,0.47750000000000004,0.49750000000000005,"min_top=0.428,margin=0.0","drop<=0.16,t=0.458",0.569,0.7548,0.3397,0.913,0.5549,24.54s,1:8 ratio with very-hard negative emphasis
EXP-D_Hard_Augmented,XGBoost_v2_GPU,v1_51feats,Hard-negative-only augmentation,adaptive_multi,0.65,0.47750000000000004,0.49750000000000005,"min_top=0.428,margin=0.0","drop<=0.16,t=0.458",0.5687,0.754,0.3396,0.8895,0.5559,19.98s,Hard-negative-only augmentation
